TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
207.02,"$52,380.00",1250,1073,1082,1044,390,0.5277,18.40%,40.68%,67.91%,63.49%,1302,59.28%,59.78%,85.68%,44.93%,27.17%,88.78%,0.6094,3
208.01,"$47,784.00",924,525,1174,527,601,0.5657,42.80%,42.93%,59.67%,65.32%,870,52.98%,70.27%,44.55%,50.19%,34.14%,92.15%,0.5738,3
208.02,"$53,457.00",979,698,749,1363,524,0.5886,18.08%,34.82%,76.15%,61.96%,1278,61.79%,76.22%,86.26%,29.81%,19.91%,86.01%,0.6,3
209.01,"$39,938.00",837,750,907,903,293,0.5493,30.64%,38.34%,70.84%,59.48%,1064,35.75%,65.36%,65.96%,39.15%,25.03%,80.79%,0.5201,3
209.02,"$43,328.00",415,1129,710,591,189,0.5347,11.45%,57.20%,65.14%,60.49%,608,44.81%,61.49%,93.61%,73.12%,30.82%,82.48%,0.6439,3
301.01,"$72,747.00",299,246,795,1016,737,0.7064,68.40%,38.26%,41.81%,60.23%,315,79.06%,89.85%,23.64%,38.67%,44.93%,82.33%,0.5975,3
301.02,"$71,141.00",239,551,800,670,389,0.6316,43.81%,44.17%,36.17%,60.23%,210,78.17%,82.47%,43.61%,52.67%,50.76%,82.25%,0.6499,4
301.03,"$27,406.00",235,291,220,473,250,0.6289,0.00%,33.14%,47.10%,60.23%,72,9.56%,82.25%,100.00%,25.63%,42.72%,82.34%,0.5708,3
301.04,"$45,557.00",197,353,471,404,120,0.5867,0.00%,35.33%,43.62%,60.23%,92,48.29%,75.52%,100.00%,30.88%,44.45%,82.25%,0.6356,3
302,"$95,469.00",127,310,850,1317,1145,0.7623,22.51%,51.18%,22.15%,58.63%,647,89.33%,93.70%,78.98%,64.90%,62.84%,79.04%,0.7813,4
303,"$66,976.00",386,493,658,511,438,0.6098,27.08%,33.78%,56.72%,60.49%,517,76.25%,79.26%,73.04%,26.96%,36.73%,82.60%,0.6247,3
304,"$72,842.00",259,299,375,680,418,0.6688,39.41%,42.18%,41.50%,56.18%,374,79.15%,86.88%,50.41%,48.07%,45.27%,75.24%,0.6417,3
305,"$76,129.00",796,398,788,1586,1206,0.6841,27.60%,39.92%,36.78%,56.91%,672,80.66%,88.12%,72.47%,43.66%,49.86%,76.96%,0.6862,4
306.01,"$48,064.00",268,535,763,847,459,0.6483,52.94%,36.09%,35.70%,60.23%,340,53.28%,85.15%,35.97%,33.15%,51.46%,82.25%,0.5688,3
306.03,"$30,637.00",88,249,618,484,316,0.6787,67.32%,13.17%,28.58%,60.23%,216,13.85%,87.66%,24.12%,1.38%,57.28%,82.25%,0.4443,2
306.04,"$58,216.00",91,457,520,735,655,0.7144,19.74%,28.02%,37.47%,60.23%,179,68.04%,90.26%,82.81%,13.58%,48.92%,82.25%,0.6431,3
307.01,"$66,213.00",104,192,533,396,244,0.6659,78.38%,26.47%,30.36%,57.20%,125,75.47%,86.60%,13.74%,11.82%,56.29%,77.44%,0.5356,3
307.02,"$55,637.00",13,228,283,507,419,0.7505,44.30%,61.65%,49.62%,57.20%,97,64.79%,92.59%,43.00%,77.74%,42.02%,77.31%,0.6624,4
307.03,"$26,823.00",282,294,506,869,536,0.6871,32.74%,31.31%,33.62%,57.20%,215,8.52%,88.59%,61.02%,21.53%,52.48%,77.44%,0.516,3
