TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
6103,"$36,836.00",1426,1086,439,121,163,0.3842,52.73%,31.69%,77.46%,45.76%,1466,28.66%,11.81%,36.39%,22.78%,18.24%,34.31%,0.2537,1
6104,"$23,914.00",693,462,137,56,0,0.3341,24.55%,24.11%,85.56%,50.22%,663,4.69%,3.02%,75.86%,8.36%,8.32%,51.00%,0.2521,1
6108,"$94,202.00",124,420,271,44,77,0.4996,21.84%,61.92%,5.99%,45.31%,240,89.12%,51.11%,80.24%,77.95%,77.67%,33.46%,0.6826,4
6110,"$18,590.00",205,210,232,24,0,0.4224,50.28%,36.94%,36.11%,38.51%,258,1.57%,22.29%,38.37%,34.39%,50.82%,17.51%,0.2749,1
6111,"$26,319.00",1056,501,217,35,0,0.315,60.47%,35.01%,79.77%,38.13%,766,7.12%,1.07%,29.19%,30.27%,15.54%,16.67%,0.1665,1
6112,"$33,428.00",783,511,220,88,1,0.3521,39.85%,30.71%,66.93%,38.08%,838,19.72%,5.27%,49.93%,20.12%,28.28%,16.43%,0.2329,1
6113,"$37,481.00",1082,700,336,110,51,0.3673,32.67%,36.28%,75.76%,61.98%,1114,30.97%,9.16%,61.30%,33.76%,20.16%,86.26%,0.4027,2
6114,"$30,982.00",1406,637,210,27,32,0.3095,27.96%,29.89%,87.14%,46.14%,1187,15.01%,0.90%,71.83%,18.21%,7.21%,35.04%,0.247,1
6115,"$43,730.00",1011,741,335,72,38,0.3619,25.43%,37.63%,84.65%,43.72%,880,45.78%,7.64%,74.81%,36.63%,8.53%,29.06%,0.3374,1
6116,"$40,130.00",298,293,345,32,8,0.4277,46.54%,48.69%,17.13%,37.31%,378,36.32%,24.36%,41.62%,60.98%,66.41%,15.38%,0.4084,2
6117,"$43,521.00",363,389,139,60,0,0.3781,61.36%,38.15%,23.84%,37.31%,435,45.14%,10.83%,28.35%,38.23%,61.44%,15.30%,0.3321,1
6118,"$26,884.00",366,470,248,56,7,0.4026,63.11%,34.93%,31.11%,37.31%,455,8.63%,16.08%,26.10%,30.10%,54.99%,15.20%,0.2518,1
6119,"$25,108.00",431,363,218,12,5,0.3662,79.59%,27.35%,9.76%,36.92%,448,5.26%,8.22%,12.75%,13.13%,71.74%,14.41%,0.2092,1
6120,"$29,730.00",170,374,294,42,15,0.4565,77.58%,39.10%,6.75%,35.96%,283,12.63%,37.30%,14.94%,41.45%,75.70%,10.23%,0.3204,1
6121,"$32,149.00",154,307,304,105,5,0.4857,84.88%,31.14%,7.67%,36.41%,288,17.75%,46.22%,8.50%,20.89%,73.91%,12.38%,0.2994,1
6201,"$57,263.00",759,1093,549,229,30,0.4254,25.16%,82.51%,82.84%,54.21%,955,67.11%,23.12%,75.24%,94.15%,10.60%,68.60%,0.5647,3
6202,"$53,882.00",464,486,358,60,77,0.4339,60.26%,55.53%,78.55%,52.24%,435,62.61%,27.33%,29.48%,71.15%,16.85%,59.11%,0.4442,2
6203,"$50,624.00",1368,1270,951,227,171,0.4276,38.43%,72.80%,75.49%,53.31%,1350,57.01%,24.27%,51.57%,85.75%,20.47%,64.82%,0.5065,3
6204,"$44,041.00",1279,876,490,238,39,0.3866,10.75%,74.32%,89.02%,56.06%,1187,46.57%,12.62%,94.43%,87.11%,4.24%,74.77%,0.5329,3
6301,"$42,343.00",291,224,85,24,0,0.3494,69.81%,38.76%,67.68%,48.99%,248,42.95%,5.08%,22.75%,40.20%,27.23%,45.36%,0.306,1
6302,"$29,423.00",602,329,137,56,40,0.36,17.92%,46.61%,89.99%,52.75%,468,12.10%,6.45%,86.60%,57.53%,3.39%,61.93%,0.38,2
6303,"$41,565.00",1469,1157,432,146,38,0.3611,32.06%,53.16%,88.35%,51.08%,1638,40.11%,7.44%,62.87%,68.92%,5.27%,54.64%,0.3987,2
6304,"$36,740.00",2346,901,433,180,70,0.3317,31.53%,52.72%,93.81%,51.68%,1769,27.70%,2.87%,64.00%,67.29%,1.13%,57.37%,0.3673,2
6305,"$36,819.00",1935,1155,291,109,22,0.3226,24.35%,50.68%,88.85%,53.29%,1568,28.33%,2.00%,76.38%,63.87%,4.60%,64.51%,0.3995,2
6308,"$38,901.00",1889,1197,674,226,52,0.3699,34.94%,55.66%,81.59%,53.91%,1772,34.08%,9.91%,56.96%,71.55%,12.66%,67.66%,0.4214,2
6309,"$41,070.00",1248,1112,525,168,13,0.3773,20.29%,58.73%,90.52%,52.63%,1353,38.86%,10.73%,81.89%,75.42%,2.91%,61.83%,0.4527,2
6401,"$52,517.00",248,243,243,116,14,0.4623,36.16%,56.10%,64.10%,53.31%,271,59.35%,39.59%,54.29%,72.45%,31.53%,64.88%,0.5368,3
6403,"$67,988.00",738,1639,1170,527,197,0.4973,44.94%,73.80%,35.00%,55.92%,1194,76.74%,50.41%,42.91%,86.38%,52.00%,73.86%,0.6372,3
6404,"$70,597.00",254,904,918,198,122,0.519,46.28%,80.02%,27.36%,63.71%,521,77.92%,57.11%,41.81%,92.50%,58.06%,89.65%,0.6951,4
6405,"$82,409.00",190,919,666,264,172,0.5375,11.04%,79.08%,29.76%,64.34%,462,83.92%,62.76%,94.04%,91.78%,56.70%,90.27%,0.7991,4
6406,"$58,230.00",497,979,740,357,154,0.5041,56.96%,56.85%,46.00%,55.66%,651,68.19%,52.30%,32.89%,72.92%,43.24%,73.05%,0.571,3
6407,"$63,683.00",461,570,532,309,59,0.4897,32.87%,80.38%,48.01%,61.86%,600,71.99%,48.14%,60.94%,92.80%,42.49%,85.10%,0.6691,4
6408,"$60,689.00",240,608,406,147,94,0.4993,31.52%,69.55%,66.33%,55.47%,460,70.45%,51.05%,64.11%,84.03%,28.62%,71.93%,0.617,3
6501,"$41,787.00",1062,946,660,207,33,0.4076,35.16%,69.08%,74.38%,56.07%,1074,40.63%,18.02%,56.38%,83.75%,21.51%,75.01%,0.4922,3
6502,"$47,004.00",1325,1491,1275,282,85,0.4345,28.31%,63.88%,67.55%,53.01%,1655,51.00%,27.71%,70.45%,80.04%,27.73%,63.75%,0.5344,3
6503.01,"$57,221.00",1100,832,1034,158,82,0.4309,34.09%,76.95%,73.30%,50.55%,1189,66.90%,25.95%,58.53%,90.35%,22.55%,52.83%,0.5285,3
6503.02,"$66,685.00",868,831,657,113,131,0.4314,29.62%,78.37%,76.75%,49.60%,965,75.98%,26.50%,67.40%,91.35%,18.91%,47.61%,0.5463,3
6504,"$47,545.00",1612,1515,670,165,101,0.3848,19.14%,81.99%,81.70%,51.78%,1592,52.59%,12.28%,84.22%,93.93%,12.26%,58.06%,0.5222,3
6505,"$56,591.00",517,943,749,342,168,0.5045,13.03%,79.10%,63.91%,53.48%,870,65.69%,52.63%,92.28%,92.03%,31.73%,65.43%,0.6663,4
6603.01,"$26,243.00",314,402,214,39,7,0.3998,72.79%,34.25%,41.10%,37.03%,457,6.69%,14.90%,20.93%,28.37%,46.14%,14.68%,0.2195,1
6603.02,"$41,853.00",1347,919,594,198,61,0.3888,39.29%,43.69%,77.90%,47.06%,1312,41.13%,12.92%,50.76%,51.80%,17.63%,38.50%,0.3546,2
6604,"$34,794.00",1678,1108,650,119,48,0.3641,40.78%,57.60%,81.52%,52.26%,1547,22.83%,8.12%,48.74%,73.92%,13.01%,59.66%,0.3771,2
6605,"$45,169.00",1609,971,372,94,71,0.3464,41.52%,52.80%,76.21%,49.60%,1273,47.61%,4.51%,47.27%,67.58%,19.61%,47.90%,0.3908,2
6606,"$31,397.00",874,1352,1220,188,26,0.4437,62.69%,34.16%,32.41%,39.56%,1407,16.15%,30.58%,26.63%,28.26%,53.95%,19.85%,0.2924,1
6607,"$37,341.00",394,525,344,66,58,0.4369,66.13%,55.52%,3.89%,38.23%,408,30.26%,28.49%,24.68%,71.05%,84.17%,16.76%,0.4257,2
6608,"$37,732.00",1192,1290,743,176,43,0.4019,50.17%,37.02%,37.32%,39.89%,1237,32.08%,15.98%,38.65%,35.05%,49.20%,20.40%,0.3189,1
6609,"$37,089.00",463,1061,969,178,110,0.4857,72.05%,34.72%,8.00%,34.08%,915,29.98%,46.43%,21.53%,29.49%,73.62%,6.32%,0.3456,1
6610,"$39,984.00",393,1249,1134,457,231,0.5356,72.21%,52.89%,4.73%,33.74%,980,35.98%,62.06%,21.32%,67.88%,81.57%,5.89%,0.4578,2
6611,"$49,485.00",963,1219,1214,393,73,0.465,47.03%,75.52%,37.79%,49.11%,1462,55.18%,40.69%,41.35%,88.27%,48.77%,46.04%,0.5338,3
6701,"$41,256.00",161,397,299,39,0,0.4482,94.55%,35.52%,0.29%,36.88%,304,39.37%,32.97%,3.12%,31.63%,98.45%,14.31%,0.3664,2
6702,"$31,895.00",171,341,252,12,0,0.4271,80.79%,32.64%,6.48%,36.17%,311,17.15%,23.71%,12.08%,25.00%,75.92%,10.82%,0.2745,1
6703,"$29,081.00",131,330,355,35,4,0.4716,87.07%,39.00%,0.46%,32.34%,256,11.65%,42.60%,7.29%,41.22%,98.11%,3.49%,0.3406,1
6704,"$25,957.00",332,304,415,47,25,0.4449,38.28%,44.59%,9.41%,32.12%,369,5.70%,31.30%,51.66%,53.09%,72.05%,3.12%,0.3615,2
6705,"$29,133.00",229,260,152,61,4,0.4161,69.23%,49.23%,5.66%,32.69%,241,11.71%,20.55%,23.03%,61.44%,78.57%,4.13%,0.3324,1
6706,"$32,593.00",295,405,272,41,6,0.4151,93.13%,49.56%,6.27%,34.86%,315,18.19%,20.49%,3.74%,62.01%,76.72%,7.22%,0.314,1
6707,"$33,701.00",193,310,236,42,22,0.4481,92.36%,41.64%,0.00%,34.86%,288,20.62%,32.90%,4.03%,47.05%,100.00%,7.22%,0.353,2
6708,"$22,689.00",251,376,274,56,14,0.4365,48.70%,41.30%,2.14%,32.86%,317,3.14%,28.39%,39.64%,46.21%,89.90%,4.47%,0.3529,2
6709,"$37,916.00",169,240,305,56,44,0.4934,52.67%,43.90%,0.25%,32.86%,217,32.32%,49.34%,36.44%,51.88%,98.50%,4.52%,0.455,2
6711,"$16,011.00",166,161,207,41,0,0.4428,55.45%,39.18%,0.00%,34.69%,191,0.88%,30.26%,33.98%,41.80%,100.00%,7.00%,0.3565,2
6712,"$25,615.00",211,191,202,46,6,0.4308,76.60%,34.28%,0.67%,39.47%,239,5.32%,25.37%,15.95%,28.42%,96.71%,19.27%,0.3184,1
6713,"$29,972.00",460,408,457,112,25,0.4405,80.87%,53.20%,0.62%,39.47%,472,12.84%,29.73%,12.01%,69.03%,97.02%,19.45%,0.4001,2
6714,"$33,625.00",258,449,349,75,23,0.4537,80.75%,56.55%,2.21%,39.47%,337,20.33%,35.56%,12.16%,72.59%,89.59%,19.34%,0.416,2
6715,"$23,250.00",471,775,385,81,28,0.4184,98.30%,46.40%,1.37%,36.70%,569,3.60%,20.86%,1.46%,56.28%,92.92%,13.91%,0.3151,1
6716,"$32,371.00",321,480,536,40,33,0.4559,98.18%,37.23%,7.18%,34.91%,442,18.12%,36.65%,1.57%,35.62%,75.23%,8.19%,0.2923,1
6718,"$26,621.00",264,276,172,46,15,0.4116,100.00%,59.77%,1.52%,39.03%,222,7.60%,19.49%,1.16%,76.17%,92.22%,18.86%,0.3592,2
6719,"$50,529.00",187,302,333,34,4,0.4526,82.26%,63.71%,4.01%,34.99%,251,56.58%,35.30%,10.71%,79.66%,83.59%,8.25%,0.4568,2
6720,"$40,703.00",499,965,596,169,22,0.4445,44.17%,71.03%,5.81%,35.24%,581,37.93%,31.22%,43.13%,84.98%,78.13%,8.55%,0.4732,2
6805,"$41,903.00",214,266,383,38,0,0.4544,75.63%,29.96%,7.84%,30.56%,233,41.18%,35.61%,17.22%,18.40%,73.77%,1.96%,0.3136,1
6806,"$16,051.00",232,313,228,48,15,0.4328,89.39%,28.34%,3.18%,36.88%,295,0.95%,26.93%,6.33%,13.91%,86.41%,14.24%,0.248,1
6809,"$29,500.00",769,760,979,157,39,0.4474,74.90%,18.62%,2.08%,37.80%,905,12.43%,32.43%,18.49%,3.79%,90.52%,16.01%,0.2895,1
6810,"$17,894.00",615,596,381,90,10,0.3972,90.38%,28.98%,2.96%,36.20%,629,1.45%,14.26%,5.72%,15.54%,87.37%,11.26%,0.226,1
6811,"$24,780.00",636,588,575,31,52,0.4167,89.78%,33.24%,1.23%,35.37%,620,5.16%,20.69%,6.19%,25.88%,93.82%,8.69%,0.2674,1
6812,"$17,779.00",381,386,479,40,26,0.439,80.00%,21.53%,1.20%,35.15%,499,1.31%,29.52%,12.37%,5.51%,94.05%,8.42%,0.252,1
6813,"$36,860.00",318,547,441,65,39,0.4525,85.11%,22.06%,2.12%,31.82%,486,29.24%,35.25%,8.10%,6.31%,90.01%,3.01%,0.2865,1
6814,"$31,570.00",490,556,643,13,17,0.4268,91.15%,48.24%,0.00%,40.43%,547,16.62%,23.55%,5.08%,60.41%,100.00%,21.50%,0.3786,2
6903,"$13,240.00",287,432,510,70,42,0.4729,93.48%,12.28%,3.59%,37.83%,406,0.50%,42.99%,3.56%,1.05%,85.13%,16.24%,0.2491,1
6904,"$35,813.00",392,661,975,224,52,0.503,96.18%,30.27%,3.58%,39.26%,578,25.52%,51.57%,2.40%,18.84%,85.26%,19.01%,0.3377,1
6905,"$43,733.00",122,111,186,134,35,0.5486,63.64%,34.83%,3.08%,40.53%,114,45.81%,65.00%,25.69%,29.83%,86.94%,21.57%,0.4581,2
6909,"$35,344.00",352,961,1079,294,189,0.5309,98.43%,30.25%,0.93%,40.77%,770,24.32%,60.62%,1.33%,18.71%,94.95%,22.72%,0.3711,2
6910,"$58,891.00",90,454,781,352,155,0.6031,84.56%,44.65%,3.52%,46.17%,316,68.87%,78.39%,8.75%,53.16%,85.42%,35.12%,0.5495,3
6911,"$26,776.00",338,445,752,126,81,0.5044,75.86%,23.30%,4.71%,36.22%,540,8.34%,52.43%,17.17%,7.60%,81.70%,11.51%,0.2979,1
6912,"$34,342.00",320,489,613,179,25,0.4893,78.22%,28.51%,0.59%,33.89%,584,21.96%,47.86%,14.07%,14.44%,97.35%,6.12%,0.3363,1
6913,"$59,940.00",208,543,585,189,179,0.5516,35.98%,53.78%,7.09%,44.25%,313,70.14%,66.07%,54.70%,69.44%,75.41%,30.59%,0.6106,3
6914,"$53,946.00",318,773,728,304,177,0.5347,78.88%,47.96%,2.87%,42.27%,577,63.14%,61.35%,13.29%,59.24%,87.55%,25.81%,0.5173,3
6915,"$23,082.00",166,332,446,95,35,0.5071,95.34%,30.85%,1.72%,39.36%,336,3.47%,53.55%,2.76%,20.47%,91.68%,19.09%,0.3184,1
7001,"$66,775.00",439,820,464,102,132,0.4639,54.16%,77.71%,24.19%,44.85%,643,76.13%,40.04%,35.22%,90.87%,61.04%,32.33%,0.5594,3
7002,"$56,698.00",1249,943,1114,474,57,0.4513,40.90%,86.04%,65.87%,55.95%,1572,66.10%,34.82%,48.17%,95.97%,28.98%,74.22%,0.5804,3
7003.01,"$58,045.00",959,1060,932,246,113,0.4486,27.18%,89.86%,55.31%,57.81%,1239,67.79%,33.48%,72.92%,98.52%,37.32%,78.48%,0.6475,4
7003.02,"$83,296.00",533,1038,1163,484,203,0.529,33.96%,87.66%,41.53%,55.56%,1000,85.38%,60.25%,58.76%,97.07%,45.18%,72.52%,0.6986,4
7004.01,"$66,049.00",398,967,1358,613,158,0.5523,27.01%,81.93%,24.96%,50.46%,1188,75.11%,66.55%,73.37%,93.57%,59.79%,52.47%,0.7014,4
7004.02,"$77,581.00",220,747,951,309,330,0.5829,31.07%,88.84%,17.83%,51.72%,813,81.43%,74.49%,65.00%,97.74%,66.07%,57.55%,0.7371,4
7005.01,"$80,901.00",610,1308,1838,869,439,0.5692,57.79%,84.31%,4.36%,48.05%,1005,83.41%,71.28%,32.40%,95.26%,82.80%,41.34%,0.6775,4
7005.02,"$86,726.00",139,425,1142,312,189,0.5988,20.00%,88.37%,8.69%,48.27%,423,87.06%,77.71%,82.21%,97.38%,72.44%,42.61%,0.7657,4
7101,"$12,936.00",147,259,357,34,9,0.4757,96.90%,17.21%,5.09%,27.56%,218,0.41%,43.46%,1.87%,3.09%,79.92%,0.05%,0.2146,1
7102,"$17,663.00",399,1071,1179,199,55,0.4925,96.53%,28.45%,0.85%,32.77%,963,1.19%,49.08%,2.09%,14.31%,95.56%,4.40%,0.2777,1
7103,"$54,713.00",181,268,267,12,18,0.444,73.11%,33.78%,5.94%,31.23%,222,63.80%,30.99%,20.82%,27.01%,77.89%,2.58%,0.3718,2
7104,"$45,932.00",600,1294,1326,316,151,0.4982,62.04%,61.05%,1.49%,30.09%,875,48.96%,50.64%,27.33%,77.40%,92.54%,1.78%,0.4978,3
7105,"$27,933.00",576,784,896,235,145,0.4929,82.51%,37.15%,1.80%,41.79%,731,10.52%,49.29%,10.35%,35.52%,91.52%,25.26%,0.3708,2
7106,"$23,889.00",237,403,401,87,40,0.4784,91.54%,34.66%,0.00%,34.85%,380,4.54%,44.24%,4.65%,29.29%,100.00%,7.09%,0.3163,1
7107,"$29,557.00",342,641,932,240,131,0.528,74.84%,35.60%,3.28%,38.36%,582,12.57%,59.91%,18.63%,32.07%,86.09%,17.02%,0.3771,2
7108,"$50,975.00",796,1049,1013,403,182,0.4911,100.00%,38.11%,2.47%,30.65%,817,57.94%,48.53%,1.16%,38.01%,88.80%,2.32%,0.3946,2
7109,"$23,439.00",297,488,401,109,85,0.4836,61.23%,49.16%,1.89%,43.56%,481,4.03%,45.82%,28.46%,61.39%,91.16%,28.86%,0.4329,2
7110,"$31,205.00",507,773,652,104,61,0.4511,78.09%,49.31%,2.71%,36.50%,608,15.69%,34.37%,14.21%,61.58%,88.25%,12.63%,0.3779,2
7111,"$56,748.00",386,748,586,107,64,0.4641,51.98%,54.68%,3.00%,45.06%,385,66.19%,40.13%,37.47%,70.25%,87.12%,32.67%,0.5564,3
7112,"$52,124.00",477,1352,1042,390,229,0.5164,68.80%,66.17%,2.29%,50.00%,707,58.78%,56.09%,23.27%,82.54%,89.24%,49.82%,0.5996,3
7113,"$65,284.00",201,301,403,138,49,0.5145,79.08%,59.90%,8.67%,52.96%,247,73.59%,55.47%,12.95%,76.54%,72.50%,63.37%,0.5907,3
7114,"$38,539.00",314,590,558,127,28,0.472,54.72%,62.93%,2.54%,32.87%,409,32.98%,42.69%,34.63%,78.62%,88.51%,4.62%,0.4701,2
7115,"$52,867.00",358,511,458,202,41,0.4799,54.84%,75.38%,0.00%,48.12%,372,60.11%,44.98%,34.54%,87.94%,100.00%,42.31%,0.6165,3
7201,"$130,445.00",43,285,416,655,823,0.7737,2.05%,93.42%,9.60%,57.54%,607,94.66%,94.71%,98.95%,99.77%,71.91%,78.13%,0.8969,4
7202,"$82,917.00",62,502,794,686,605,0.6959,36.61%,75.57%,6.94%,60.09%,627,84.49%,89.45%,53.82%,88.41%,75.64%,81.95%,0.7896,4
7203,"$126,770.00",77,298,683,675,741,0.7378,13.12%,93.57%,7.53%,62.96%,612,94.30%,91.60%,92.08%,99.91%,74.23%,87.71%,0.8997,4
7204,"$104,999.00",7,246,359,372,207,0.6883,17.01%,93.59%,4.36%,64.62%,412,92.13%,88.74%,88.15%,100.00%,82.89%,90.72%,0.9044,4
7205,"$120,104.00",72,154,329,449,328,0.7212,18.83%,88.73%,2.34%,65.05%,424,93.56%,90.91%,84.57%,97.55%,88.94%,91.59%,0.9119,4
7206,"$126,853.00",27,153,210,404,363,0.7596,0.00%,88.50%,2.05%,64.62%,318,94.37%,93.20%,100.00%,97.46%,90.59%,90.72%,0.9439,4
7207,"$92,978.00",57,287,654,628,460,0.71,34.88%,50.41%,1.69%,52.62%,436,88.80%,90.05%,57.10%,62.93%,91.78%,61.52%,0.7536,4
7301,"$45,324.00",131,517,582,221,170,0.5731,45.78%,83.54%,3.48%,52.03%,330,47.69%,72.41%,41.95%,94.22%,85.63%,58.76%,0.6678,4
7302.01,"$37,002.00",466,1071,1686,473,217,0.544,91.67%,42.28%,6.07%,41.06%,802,29.77%,64.36%,4.33%,48.65%,77.56%,23.63%,0.4138,2
7302.02,"$46,819.00",329,680,825,185,128,0.5164,53.96%,76.70%,3.17%,36.08%,427,50.63%,55.93%,35.34%,89.86%,86.51%,10.33%,0.5477,3
7303,"$46,211.00",96,223,344,72,17,0.5178,58.50%,68.63%,1.80%,40.97%,157,49.25%,56.68%,30.56%,83.51%,91.55%,23.24%,0.558,3
7304,"$69,500.00",307,798,773,377,186,0.5457,59.68%,79.47%,4.31%,55.36%,473,77.44%,64.73%,29.88%,92.19%,83.00%,71.22%,0.6974,4
7305,"$53,100.00",296,885,1095,319,306,0.5624,67.07%,79.87%,0.86%,56.27%,638,61.13%,69.08%,24.27%,92.38%,95.24%,75.45%,0.6959,4
7306,"$53,000.00",329,787,830,205,184,0.5253,75.37%,73.09%,0.00%,47.62%,563,60.67%,59.15%,17.54%,85.88%,100.00%,40.05%,0.6055,3
7307,"$43,926.00",172,560,559,180,29,0.5112,58.29%,75.96%,0.86%,44.24%,424,45.90%,55.08%,31.29%,89.20%,95.34%,30.42%,0.5787,3
7401,"$104,961.00",153,554,607,536,260,0.6186,12.44%,86.22%,2.60%,72.50%,564,92.04%,80.64%,92.66%,96.10%,88.38%,96.75%,0.9109,4
7402,"$98,628.00",224,1403,1116,695,517,0.5938,18.00%,91.45%,6.48%,74.10%,1010,89.73%,76.87%,86.49%,98.81%,76.26%,97.20%,0.8756,4
7403,"$101,656.00",84,726,1126,685,382,0.637,8.26%,91.75%,4.82%,74.10%,772,90.83%,82.99%,96.47%,99.30%,80.93%,97.38%,0.9132,4
7404,"$85,564.00",84,1079,1084,582,404,0.6088,24.34%,71.61%,6.15%,63.70%,811,86.17%,79.14%,76.56%,85.28%,77.24%,89.32%,0.8229,4
7501,"$54,824.00",265,915,1184,309,146,0.5401,75.07%,66.87%,0.91%,47.22%,642,64.19%,63.27%,18.19%,82.87%,95.10%,38.81%,0.604,3
7502,"$120,081.00",79,383,732,397,552,0.6896,11.88%,76.76%,5.81%,49.76%,461,93.47%,88.88%,93.16%,89.96%,78.23%,48.21%,0.8199,4
7503,"$101,660.00",104,328,452,511,314,0.6706,26.47%,77.83%,6.35%,54.42%,486,90.94%,87.03%,73.61%,90.98%,76.37%,68.87%,0.813,4
7504,"$103,336.00",72,250,763,568,332,0.6844,30.94%,86.81%,7.33%,54.42%,456,91.55%,88.22%,65.10%,96.63%,74.66%,68.98%,0.8086,4
7505,"$63,928.00",442,794,1715,394,669,0.6027,52.22%,62.26%,3.72%,47.29%,899,72.20%,78.32%,36.70%,78.34%,84.72%,39.38%,0.6494,4
7506,"$67,022.00",361,936,612,185,185,0.5032,54.91%,71.46%,2.23%,47.63%,510,76.36%,51.69%,34.46%,85.09%,89.42%,40.22%,0.6287,3
7608.01,"$58,167.00",134,874,733,943,391,0.6379,28.63%,27.05%,67.97%,61.95%,439,68.00%,83.19%,69.81%,12.64%,26.87%,85.39%,0.5765,3
7608.02,"$56,503.00",202,440,456,267,129,0.5573,0.00%,81.22%,37.29%,62.28%,180,65.49%,68.21%,100.00%,92.98%,49.24%,86.83%,0.7713,4
7608.03,"$45,390.00",642,1353,1286,786,557,0.5681,13.23%,46.21%,78.87%,61.95%,1034,47.92%,70.87%,91.88%,55.87%,16.75%,85.72%,0.615,3
7709.02,"$84,553.00",420,996,830,509,134,0.5267,31.65%,69.10%,46.05%,61.95%,426,85.67%,59.48%,63.17%,83.85%,43.09%,85.48%,0.7012,4
8104,"$82,454.00",228,810,984,877,820,0.6673,18.68%,89.37%,33.22%,72.91%,855,84.12%,86.80%,85.30%,97.93%,53.13%,96.95%,0.8404,4
8214.02,"$65,234.00",133,896,842,234,186,0.5515,60.68%,65.37%,3.50%,53.19%,571,73.53%,65.89%,28.94%,81.30%,85.55%,63.88%,0.6651,4
8233.04,"$50,956.00",732,1395,1308,488,212,0.5058,41.86%,64.21%,24.79%,63.70%,940,57.75%,53.09%,46.46%,80.25%,60.14%,89.54%,0.6454,4
8305,"$44,948.00",1308,527,351,206,13,0.3579,24.28%,58.57%,90.52%,48.52%,921,47.32%,5.78%,76.77%,75.02%,3.12%,43.73%,0.4196,2
8306,"$46,663.00",800,502,664,993,592,0.6042,35.76%,35.42%,49.92%,48.10%,988,50.53%,78.62%,55.13%,31.22%,41.95%,42.22%,0.4994,3
8307,"$55,536.00",390,589,820,1177,340,0.6294,35.38%,38.04%,37.71%,50.36%,467,64.71%,82.36%,55.40%,37.69%,48.88%,51.86%,0.5682,3
8308,"$87,136.00",46,125,385,707,489,0.7676,8.55%,18.40%,12.96%,50.15%,200,87.10%,93.83%,96.14%,3.57%,69.71%,50.46%,0.668,4
8309,"$90,469.00",137,176,334,909,538,0.7466,31.15%,47.89%,35.48%,55.61%,376,88.39%,92.33%,64.81%,58.72%,51.54%,72.73%,0.7142,4
8310,"$154,620.00",25,93,177,893,528,0.8105,6.49%,57.77%,12.01%,58.43%,259,97.37%,97.30%,97.28%,73.97%,69.90%,78.84%,0.8578,4
8311,"$65,303.00",1447,1266,1124,800,493,0.5074,30.93%,39.17%,58.79%,48.97%,1335,73.89%,53.85%,65.41%,41.76%,35.30%,45.30%,0.5259,3
8312,"$37,349.00",1438,892,459,104,52,0.3582,34.19%,37.58%,82.44%,41.28%,1063,30.50%,6.02%,58.10%,36.39%,11.28%,24.30%,0.2777,1
8313,"$24,112.00",296,342,161,38,0,0.3859,58.33%,49.74%,65.30%,38.10%,287,4.82%,12.35%,31.19%,62.24%,30.61%,16.49%,0.2629,1
8314,"$28,943.00",498,677,575,142,90,0.4637,93.47%,36.24%,11.14%,50.01%,451,11.26%,39.75%,3.66%,33.33%,70.35%,49.93%,0.3471,2
8315,"$62,177.00",937,702,672,255,89,0.4386,27.89%,69.79%,77.36%,50.69%,758,71.04%,29.41%,72.13%,84.20%,18.46%,53.51%,0.5479,3
8316,"$59,493.00",1198,1560,1128,586,172,0.4697,31.48%,49.83%,69.54%,51.61%,1415,69.40%,42.04%,64.43%,62.59%,25.79%,56.32%,0.5343,3
8317,"$63,095.00",289,458,344,196,79,0.5001,27.31%,54.42%,69.47%,56.87%,332,71.60%,51.18%,72.54%,69.88%,25.87%,76.81%,0.6131,3
8318,"$78,472.00",432,581,798,1288,939,0.6852,22.21%,43.07%,50.47%,58.70%,923,81.81%,88.44%,79.93%,50.61%,41.58%,79.25%,0.7027,4
8319,"$120,340.00",16,51,157,1017,857,0.8524,0.00%,42.12%,15.04%,71.27%,216,93.61%,99.60%,100.00%,47.98%,68.30%,95.83%,0.8422,4
8320,"$119,490.00",18,126,161,878,392,0.7905,4.79%,42.06%,14.15%,63.40%,101,93.36%,96.04%,98.30%,47.93%,68.78%,88.32%,0.8212,4
8321,"$101,522.00",154,234,518,1149,749,0.7501,46.15%,33.51%,26.11%,50.20%,257,90.66%,92.51%,41.87%,26.74%,58.81%,50.85%,0.6024,3
8322,"$117,555.00",55,239,258,1078,579,0.7708,6.64%,34.47%,20.77%,58.90%,315,93.24%,94.35%,97.22%,29.05%,63.98%,79.88%,0.7629,4
8323,"$160,088.00",21,69,204,732,333,0.7894,3.96%,41.56%,23.07%,58.53%,215,97.63%,95.88%,98.67%,46.92%,61.72%,78.89%,0.7995,4
