TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
2519,"$23,819",922,1191,810,177,99,0.4337,74.04%,22.92%,3.21%,48.48%,1107,3.36%,29.33%,19.76%,7.39%,82.51%,34.39%,0.2946,1
2520,"$27,935",1055,1062,865,279,110,0.4414,80.65%,15.47%,3.28%,50.02%,925,9.08%,32.76%,14.54%,2.75%,82.08%,36.75%,0.2966,1
2521.01,"$30,896",362,291,242,80,85,0.4557,58.33%,25.30%,6.38%,37.57%,252,13.42%,38.32%,30.43%,10.56%,73.98%,15.05%,0.3029,1
2521.02,"$33,637",1564,1345,789,326,60,0.4028,82.76%,34.92%,2.12%,67.15%,1288,17.99%,18.83%,11.30%,30.51%,86.91%,81.83%,0.4123,2
2522.01,"$25,593",508,696,551,118,24,0.437,80.00%,41.23%,1.50%,58.40%,378,4.92%,30.95%,14.97%,46.25%,90.67%,62.69%,0.4174,2
2522.02,"$54,004",735,1320,730,186,69,0.4378,80.80%,30.22%,0.34%,62.22%,992,62.20%,31.47%,14.09%,20.00%,97.29%,73.00%,0.4967,3
2601,"$10,671",274,434,111,20,47,0.4041,100.00%,21.13%,0.97%,46.23%,218,0.06%,18.93%,1.40%,5.39%,94.94%,29.08%,0.2497,1
2602,"$35,291",70,265,117,6,0,0.4258,92.86%,29.65%,0.00%,34.03%,172,21.66%,25.15%,3.89%,18.36%,100.00%,10.06%,0.2985,1
2603,"$24,754",144,375,239,46,33,0.4683,100.00%,24.74%,0.22%,35.45%,317,3.65%,42.83%,1.40%,9.69%,97.55%,12.17%,0.2788,1
2604,"$38,192",286,285,154,80,5,0.4106,66.00%,28.67%,0.24%,37.13%,267,32.27%,20.00%,24.45%,15.66%,97.47%,14.04%,0.3398,1
2605,"$33,577",423,315,258,44,0,0.3852,72.83%,30.66%,0.00%,67.13%,403,17.69%,13.85%,21.03%,21.21%,100.00%,81.53%,0.4255,2
2606,"$25,358",248,389,402,94,57,0.4862,82.94%,31.11%,0.67%,62.72%,454,4.83%,49.65%,11.01%,21.80%,96.29%,74.07%,0.4294,2
2607,"$27,912",210,546,271,28,6,0.4254,92.02%,29.39%,1.63%,52.94%,388,8.86%,24.99%,4.60%,17.54%,89.70%,46.76%,0.3207,1
2608,"$33,081",396,651,339,83,7,0.4176,100.00%,23.54%,8.99%,44.23%,509,16.65%,21.19%,1.40%,8.23%,70.93%,25.69%,0.2402,1
2609,"$29,742",219,293,220,50,1,0.4266,92.90%,28.74%,0.57%,69.73%,381,11.83%,26.09%,3.85%,15.93%,96.55%,85.00%,0.3987,2
2610,"$32,847",289,404,769,98,10,0.4899,67.57%,39.32%,3.10%,62.28%,507,16.04%,50.81%,23.36%,42.39%,83.40%,73.52%,0.4825,3
2705,"$25,057",384,188,230,185,16,0.4526,75.89%,11.58%,5.80%,66.40%,334,3.97%,36.98%,18.17%,0.79%,74.66%,80.08%,0.3577,2
2712,"$42,910",216,278,248,0,16,0.4211,20.48%,30.29%,4.41%,63.11%,271,42.26%,22.39%,84.67%,20.13%,78.71%,74.94%,0.5385,3
2713,"$14,869",209,188,127,48,33,0.4374,71.22%,21.29%,5.99%,62.97%,254,0.55%,31.11%,21.82%,5.71%,74.45%,74.38%,0.3467,2
2714,"$38,055",139,418,386,89,38,0.5007,85.45%,26.95%,4.49%,62.97%,355,31.21%,54.76%,8.92%,13.03%,78.58%,74.38%,0.4348,2
2715,"$45,886",93,434,249,93,92,0.5286,61.45%,41.13%,3.19%,69.87%,299,48.25%,62.50%,28.07%,46.04%,82.87%,85.14%,0.5881,3
2718,"$32,755",61,274,120,61,0,0.4702,93.92%,20.95%,0.00%,55.47%,205,15.71%,43.52%,2.78%,5.17%,100.00%,53.31%,0.3675,2
2801,"$202,625",40,239,621,1914,1874,0.8279,30.17%,54.48%,16.07%,75.47%,171,99.41%,98.80%,69.26%,69.26%,65.28%,93.15%,0.8253,4
2804,"$61,302",105,231,414,161,85,0.5779,81.64%,24.24%,6.79%,42.31%,308,70.96%,76.61%,12.81%,9.12%,72.55%,23.43%,0.4425,2
2808,"$104,993",228,164,135,52,3,0.4069,63.55%,24.36%,3.58%,63.19%,215,93.16%,19.73%,26.53%,9.17%,80.88%,74.98%,0.5074,3
2809,"$11,160",134,213,109,44,34,0.4618,100.00%,24.39%,2.44%,50.61%,318,0.33%,41.21%,1.40%,9.24%,86.26%,38.37%,0.2947,1
2819,"$95,314",48,173,275,1717,1581,0.843,47.00%,28.33%,31.77%,67.26%,124,91.15%,99.42%,41.67%,14.39%,53.82%,81.86%,0.6372,3
2827,"$49,213",415,408,251,373,187,0.5399,70.00%,44.49%,41.07%,55.47%,400,53.12%,66.76%,22.17%,52.85%,46.56%,53.31%,0.4913,3
2828,"$48,401",36,258,215,348,378,0.7253,11.96%,37.89%,34.60%,53.47%,191,52.27%,93.10%,94.90%,38.26%,50.98%,47.97%,0.6291,3
2831,"$79,181",37,239,473,553,570,0.7474,79.26%,13.43%,30.47%,32.71%,275,84.25%,94.07%,15.62%,2.01%,55.61%,8.22%,0.433,2
2832,"$106,433",158,75,161,324,320,0.7104,43.43%,44.73%,30.57%,32.71%,221,93.29%,92.37%,45.40%,53.25%,55.41%,8.22%,0.5799,3
2838,"$81,931",263,464,549,740,530,0.6636,65.31%,44.15%,16.37%,32.71%,405,85.40%,89.52%,25.34%,52.19%,65.01%,8.22%,0.5428,3
2909,"$27,780",772,871,821,245,23,0.4445,86.46%,31.48%,2.08%,39.82%,1102,8.47%,34.52%,8.12%,22.53%,87.54%,19.81%,0.3016,1
2912,"$20,284",272,390,359,99,92,0.4926,79.78%,25.30%,0.00%,21.93%,618,2.60%,52.52%,15.36%,10.70%,100.00%,0.48%,0.3028,1
2916,"$27,348",315,72,62,67,15,0.3721,85.09%,28.62%,69.89%,51.89%,200,7.21%,11.38%,9.15%,15.48%,26.00%,43.47%,0.1878,1
2922,"$31,548",452,672,378,157,55,0.4473,92.51%,29.39%,3.05%,25.64%,645,13.67%,35.27%,4.40%,17.68%,83.85%,1.23%,0.2602,1
2924,"$35,036",295,502,409,54,10,0.4397,85.53%,25.24%,0.05%,33.06%,498,21.34%,32.32%,8.60%,10.50%,98.19%,8.54%,0.2992,1
2925,"$29,631",621,859,749,170,44,0.4491,74.04%,37.67%,0.00%,33.74%,837,11.56%,35.98%,19.76%,37.40%,100.00%,9.89%,0.3576,2
3005,"$33,825",956,486,364,55,19,0.3548,51.00%,28.34%,93.85%,53.36%,673,18.25%,7.48%,37.53%,14.55%,1.50%,47.22%,0.2109,1
3006,"$37,180",945,403,392,56,12,0.3552,32.78%,38.53%,72.09%,56.62%,728,27.46%,7.65%,60.77%,39.69%,23.98%,57.26%,0.3614,2
3007,"$38,031",1589,702,391,139,77,0.3524,50.35%,27.21%,90.27%,58.75%,1345,31.13%,7.01%,38.19%,13.45%,3.20%,63.36%,0.2606,1
3008,"$29,033",1574,519,281,76,0,0.3069,31.00%,28.74%,96.27%,44.74%,1192,11.09%,0.68%,66.83%,16.20%,0.54%,26.53%,0.2031,1
3009,"$25,275",1358,786,343,123,21,0.3463,58.96%,25.89%,90.79%,46.36%,1310,4.29%,5.61%,29.67%,11.73%,2.77%,29.38%,0.1391,1
3011,"$36,012",757,334,132,101,35,0.3532,41.73%,23.67%,83.91%,50.04%,617,23.61%,7.33%,47.34%,8.37%,9.66%,37.18%,0.2225,1
3012,"$35,321",1423,434,233,168,51,0.3393,30.73%,29.00%,86.51%,51.42%,962,21.88%,3.50%,67.56%,16.80%,7.51%,41.22%,0.2641,1
3016,"$31,942",1633,610,515,58,14,0.3322,36.92%,39.46%,96.44%,54.10%,1157,14.52%,2.76%,55.38%,42.85%,0.27%,49.84%,0.276,1
3017.01,"$44,438",1342,665,256,262,2,0.356,26.71%,32.18%,94.71%,51.67%,886,45.55%,7.96%,74.03%,24.47%,1.28%,42.54%,0.3264,1
3017.02,"$36,748",1455,575,133,31,0,0.2851,30.43%,38.57%,95.05%,52.09%,989,25.91%,0.23%,68.68%,39.92%,0.77%,43.70%,0.2987,1
3018.01,"$35,278",1271,572,233,120,13,0.3313,24.46%,39.30%,94.72%,55.57%,949,21.62%,2.50%,77.56%,42.27%,1.08%,53.63%,0.3311,1
3018.02,"$31,969",1427,318,161,36,61,0.2991,21.57%,33.37%,89.63%,50.62%,793,14.70%,0.41%,82.81%,26.92%,3.82%,38.76%,0.279,1
3018.03,"$31,797",1886,687,349,112,16,0.317,51.02%,39.05%,89.72%,56.42%,1354,14.25%,1.27%,37.37%,41.48%,3.64%,56.76%,0.258,1
3102,"$78,643",179,219,182,275,253,0.6368,70.15%,34.20%,39.05%,60.42%,185,83.80%,86.52%,22.08%,29.02%,48.17%,67.30%,0.5615,3
3103,"$62,864",214,167,248,369,118,0.6018,42.48%,27.70%,55.92%,56.18%,249,73.14%,80.93%,46.74%,13.84%,36.48%,55.93%,0.5118,3
3104,"$37,210",380,235,126,179,87,0.4725,62.79%,32.85%,71.45%,51.46%,272,27.68%,44.61%,27.58%,25.35%,24.58%,41.83%,0.3194,1
3105,"$37,622",699,455,74,50,42,0.3395,39.06%,29.77%,94.90%,47.78%,398,28.92%,3.59%,51.41%,18.45%,0.86%,31.95%,0.2253,1
3106,"$49,603",1513,1026,838,497,213,0.4469,31.51%,18.63%,65.57%,53.44%,995,54.01%,35.13%,65.22%,4.00%,28.81%,47.93%,0.3918,2
3107,"$38,394",533,258,202,154,67,0.4293,27.07%,22.14%,84.68%,50.62%,344,32.48%,27.57%,73.54%,6.30%,8.93%,38.58%,0.3123,1
3108,"$40,094",1463,774,273,277,117,0.3804,50.12%,24.16%,81.19%,52.10%,981,37.82%,13.18%,38.41%,8.85%,12.66%,43.92%,0.2581,1
3109,"$34,330",1570,570,522,286,95,0.3874,38.96%,25.78%,80.98%,48.87%,1038,19.45%,14.34%,51.85%,11.34%,13.14%,34.91%,0.2417,1
3201,"$140,746",2,325,1154,3947,4325,0.8516,13.58%,39.54%,25.76%,77.61%,478,97.06%,99.74%,92.61%,42.96%,59.03%,94.29%,0.8095,4
3204,"$122,786",20,37,83,176,277,0.8202,0.00%,62.28%,15.70%,73.87%,25,95.36%,98.42%,100.00%,77.59%,65.55%,91.22%,0.8802,4
3206,"$178,069",105,346,560,1305,1293,0.7848,37.00%,44.89%,21.57%,73.87%,166,98.78%,96.88%,54.80%,53.80%,61.54%,91.22%,0.7617,4
3301,"$140,036",1213,1385,2184,5298,5052,0.7532,33.62%,50.29%,26.03%,58.99%,1299,96.59%,94.68%,58.78%,62.90%,58.90%,64.36%,0.727,4
3302,"$109,018",218,189,651,634,1082,0.7567,30.50%,60.99%,23.54%,54.47%,559,93.73%,95.11%,68.45%,76.39%,60.85%,50.70%,0.742,4
3403,"$36,364",403,391,153,110,103,0.4481,25.00%,45.25%,73.20%,75.38%,188,24.11%,35.44%,76.94%,54.07%,22.41%,92.93%,0.5099,3
3404,"$43,271",334,439,192,217,53,0.473,30.41%,35.05%,74.36%,75.38%,218,42.94%,44.66%,68.73%,31.07%,21.39%,92.93%,0.5029,3
3405,"$64,330",419,469,239,191,85,0.4651,76.23%,25.33%,49.16%,75.38%,107,75.03%,41.48%,17.98%,10.76%,41.14%,92.93%,0.4655,2
3406,"$16,210",174,148,91,3,2,0.366,100.00%,0.68%,2.48%,37.70%,132,0.90%,10.14%,1.40%,0.03%,86.09%,15.08%,0.1894,1
3501,"$67,212",84,181,409,631,461,0.7364,43.33%,1.82%,35.98%,43.79%,77,77.53%,93.51%,45.61%,0.06%,50.36%,25.28%,0.4873,3
3504,"$10,289",37,52,74,0,0,0.4454,100.00%,0.88%,14.18%,43.79%,63,0.01%,34.53%,1.40%,0.04%,66.58%,25.28%,0.2131,1
3510,"$51,014",49,398,668,518,651,0.7159,60.28%,16.48%,27.31%,58.16%,215,57.02%,92.60%,29.06%,3.00%,57.58%,62.26%,0.5025,3
3511,"$15,205",196,493,291,50,12,0.4443,97.94%,4.85%,1.00%,29.48%,562,0.74%,34.06%,1.77%,0.24%,94.64%,3.49%,0.2249,1
3514,"$15,118",251,280,296,26,21,0.4366,100.00%,10.39%,12.84%,45.72%,232,0.61%,30.86%,1.40%,0.52%,67.55%,27.84%,0.2147,1
3515,"$50,750",6,28,42,112,0,0.6766,100.00%,30.40%,47.49%,36.77%,51,56.46%,90.01%,1.40%,20.31%,41.85%,13.60%,0.3727,2
3602,"$32,342",322,276,313,135,49,0.4745,95.60%,20.33%,6.58%,27.91%,466,15.15%,45.28%,2.29%,5.10%,73.63%,2.70%,0.2403,1
3801,"$74,749",354,356,437,258,180,0.5437,61.26%,30.28%,0.05%,26.13%,311,81.91%,67.80%,28.21%,20.07%,98.26%,1.34%,0.496,3
3802,"$24,470",315,304,423,176,111,0.5193,27.27%,13.82%,2.36%,26.13%,161,3.49%,60.50%,73.25%,2.40%,86.29%,1.34%,0.3788,2
3805,"$45,031",24,100,253,14,0,0.5315,100.00%,3.64%,3.19%,36.77%,207,46.68%,63.51%,1.40%,0.11%,82.87%,13.60%,0.347,2
3807,"$19,170",181,327,337,44,44,0.4806,37.71%,22.44%,1.01%,38.94%,178,2.24%,47.65%,53.95%,6.64%,94.36%,17.44%,0.3705,2
3812,"$43,863",234,272,548,242,178,0.5807,77.98%,24.42%,6.22%,34.77%,417,44.69%,77.28%,17.08%,9.47%,74.07%,11.31%,0.3898,2
3814,"$27,362",96,359,325,155,83,0.5548,94.84%,28.06%,4.61%,37.22%,388,7.30%,71.32%,2.60%,13.93%,78.46%,14.13%,0.3129,1
3815,"$32,767",15,43,94,7,0,0.517,100.00%,39.13%,0.00%,43.29%,43,15.72%,59.78%,1.40%,41.49%,100.00%,25.05%,0.4057,2
3818,"$86,931",144,177,212,160,77,0.5608,53.85%,25.48%,6.02%,32.52%,187,88.78%,73.47%,34.52%,11.07%,74.28%,7.64%,0.4829,3
3819,"$51,694",128,131,244,101,133,0.5946,92.72%,35.47%,9.04%,32.52%,229,58.33%,79.82%,3.95%,31.64%,70.64%,7.64%,0.42,2
3901,"$73,000",194,206,277,138,138,0.5622,55.56%,40.70%,3.83%,30.52%,311,80.99%,74.22%,33.00%,44.77%,80.25%,4.88%,0.5302,3
3902,"$107,919",72,176,273,340,272,0.6996,47.64%,54.16%,8.95%,30.09%,332,93.41%,91.68%,40.38%,68.89%,71.07%,4.33%,0.6163,3
3903,"$43,774",350,509,578,235,173,0.5319,77.75%,13.77%,9.51%,28.75%,477,44.46%,63.74%,17.19%,2.37%,70.04%,3.21%,0.335,1
3904,"$28,146",517,467,705,220,316,0.5417,84.90%,24.44%,3.30%,32.89%,478,9.33%,67.01%,9.57%,9.58%,81.79%,8.43%,0.3095,1
3905,"$104,698",154,204,179,167,416,0.687,39.17%,29.47%,15.22%,46.44%,238,93.03%,90.89%,51.12%,17.85%,65.77%,29.44%,0.5802,3
3906,"$113,306",41,50,198,294,634,0.835,46.12%,44.92%,15.90%,51.83%,274,94.27%,99.11%,42.59%,53.86%,65.40%,43.05%,0.6638,4
3907,"$85,583",164,256,889,1195,1712,0.7914,22.83%,33.22%,30.38%,51.83%,401,88.24%,97.25%,79.76%,26.24%,55.70%,43.14%,0.6505,4
4003,"$75,656",176,189,312,131,60,0.5332,51.40%,24.07%,1.98%,33.73%,351,82.25%,63.93%,36.89%,8.61%,88.03%,9.70%,0.4823,3
4004,"$27,891",191,387,332,58,121,0.5139,89.89%,23.30%,2.98%,30.29%,420,8.78%,58.25%,6.00%,8.11%,84.65%,4.43%,0.2837,1
4005,"$30,790",375,415,306,106,57,0.4499,100.00%,13.07%,2.68%,29.69%,541,13.26%,36.55%,1.40%,1.79%,85.31%,3.84%,0.2369,1
4008,"$20,131",514,336,538,65,6,0.4236,89.83%,6.43%,1.55%,29.72%,666,2.46%,23.54%,6.16%,0.39%,90.39%,4.08%,0.2117,1
4101,"$98,917",120,225,294,482,464,0.7192,30.00%,25.33%,29.45%,53.37%,136,91.90%,92.76%,69.65%,10.73%,56.40%,47.26%,0.6145,3
4102,"$140,190",0,114,110,409,462,0.8226,28.46%,20.61%,31.78%,51.83%,99,96.62%,98.54%,71.10%,5.12%,53.79%,42.98%,0.6136,3
4105,"$106,334",77,282,510,415,568,0.7204,44.82%,34.80%,10.83%,35.56%,280,93.24%,92.94%,43.77%,30.19%,69.13%,12.30%,0.5693,3
4106,"$112,059",53,213,293,482,651,0.7732,12.77%,37.87%,19.02%,44.97%,232,94.16%,96.30%,93.89%,38.18%,62.86%,26.64%,0.6867,4
4107,"$115,188",137,42,340,408,692,0.7823,45.85%,29.84%,31.94%,58.77%,177,94.59%,96.78%,42.64%,19.01%,53.77%,63.40%,0.617,3
4108,"$69,800",167,160,421,437,860,0.7626,64.23%,34.68%,21.54%,58.82%,166,79.85%,95.48%,26.43%,29.73%,61.57%,63.44%,0.5942,3
4109,"$77,245",83,134,367,787,1066,0.8149,42.86%,41.68%,26.66%,54.47%,262,82.76%,98.14%,46.37%,47.42%,58.29%,50.76%,0.6396,3
4110,"$99,084",107,187,374,665,1195,0.81,26.29%,40.18%,21.97%,54.58%,127,91.93%,97.94%,74.47%,44.16%,61.40%,50.95%,0.7014,4
4111,"$142,188",0,15,218,344,928,0.8904,22.93%,50.54%,31.66%,59.08%,234,97.18%,100.00%,79.67%,63.26%,53.88%,65.20%,0.7653,4
4112,"$170,435",50,142,63,222,740,0.8399,2.01%,51.77%,32.41%,60.18%,220,98.64%,99.31%,98.82%,65.30%,53.23%,67.11%,0.804,4
4201,"$29,958",147,179,519,60,67,0.5426,80.99%,8.91%,4.43%,45.87%,324,11.90%,67.38%,13.54%,0.47%,78.65%,28.34%,0.3338,1
4202,"$54,847",203,185,273,281,235,0.6272,54.08%,21.11%,9.91%,45.87%,236,63.77%,85.35%,34.22%,5.34%,69.68%,28.34%,0.4778,2
4203,"$82,945",41,234,298,231,197,0.6617,57.72%,26.45%,22.78%,34.24%,261,85.77%,89.23%,30.77%,12.30%,61.13%,10.50%,0.4828,3
4204,"$36,681",124,133,249,151,197,0.6384,54.48%,13.27%,33.25%,34.24%,189,25.37%,86.56%,34.17%,1.95%,52.58%,10.50%,0.3519,2
4205,"$26,010",266,546,369,126,51,0.4748,91.08%,13.25%,7.42%,34.24%,503,5.46%,45.61%,4.84%,1.91%,71.86%,10.50%,0.2336,1
4206,"$28,551",405,181,430,199,114,0.5151,76.16%,15.57%,1.33%,34.24%,507,10.06%,58.87%,18.09%,2.88%,91.17%,10.50%,0.3193,1
4207,"$28,184",328,685,589,179,76,0.4912,80.88%,26.41%,5.13%,25.37%,631,9.48%,51.83%,13.81%,12.18%,76.19%,1.08%,0.2743,1
4208,"$28,124",278,285,393,126,48,0.4904,75.25%,26.36%,3.88%,26.33%,437,9.22%,51.41%,18.36%,12.03%,80.09%,1.44%,0.2876,1
4212,"$37,652",276,240,299,67,4,0.4381,37.50%,30.47%,3.79%,24.66%,269,28.98%,31.74%,54.59%,20.70%,80.31%,0.94%,0.3621,2
4301.01,"$34,308",344,389,926,215,340,0.5836,90.45%,18.75%,1.01%,41.79%,664,19.21%,77.72%,5.05%,4.15%,94.51%,22.37%,0.3717,2
4301.02,"$47,754",228,440,769,480,112,0.5811,61.39%,16.75%,12.07%,41.79%,304,51.68%,77.35%,28.14%,3.07%,68.22%,22.37%,0.418,2
4302,"$52,212",545,641,1402,431,232,0.5486,81.27%,24.24%,4.41%,27.32%,883,59.81%,69.46%,13.47%,9.05%,78.92%,2.23%,0.3882,2
4303,"$37,775",162,448,438,157,47,0.5168,83.07%,19.86%,3.02%,27.06%,430,29.08%,59.53%,10.32%,4.58%,84.09%,1.81%,0.3157,1
4304,"$30,781",445,449,705,101,147,0.4978,89.29%,37.02%,9.39%,41.89%,552,13.14%,53.79%,6.52%,35.04%,70.38%,22.50%,0.3356,1
4305,"$27,860",420,584,867,191,154,0.5165,78.63%,12.76%,5.86%,36.59%,582,8.68%,59.43%,16.47%,1.07%,74.58%,13.24%,0.2891,1
4306,"$45,296",106,262,432,180,139,0.5971,86.60%,35.96%,1.13%,36.63%,242,46.94%,80.20%,7.79%,32.62%,92.82%,13.29%,0.4561,2
4307,"$25,747",233,339,846,215,339,0.6089,95.31%,22.73%,7.22%,52.30%,360,5.00%,82.32%,2.37%,6.87%,72.04%,44.25%,0.3548,2
4308,"$35,250",100,281,413,209,123,0.5954,83.05%,39.17%,1.12%,36.59%,250,21.40%,79.88%,10.38%,41.61%,92.87%,13.24%,0.4323,2
4309,"$36,073",189,255,370,216,51,0.5417,48.21%,32.54%,2.10%,36.59%,278,23.68%,67.07%,40.19%,24.99%,87.18%,13.24%,0.4272,2
4312,"$69,311",277,362,742,361,295,0.6034,63.38%,65.77%,4.98%,32.55%,458,79.49%,81.19%,26.69%,81.26%,77.05%,8.00%,0.5895,3
4313.01,"$32,515",347,673,744,219,118,0.5132,73.28%,21.14%,7.19%,31.02%,794,15.33%,58.05%,20.89%,5.57%,72.22%,5.82%,0.2965,1
4313.02,"$34,625",491,642,1016,264,15,0.4904,84.12%,13.00%,1.15%,39.15%,767,19.88%,51.59%,9.97%,1.67%,92.59%,18.28%,0.3233,1
4314,"$33,448",688,1272,1609,765,355,0.55,82.54%,22.28%,6.03%,62.48%,725,17.60%,69.78%,11.77%,6.59%,74.24%,73.96%,0.4232,2
4401.01,"$28,643",522,910,700,174,103,0.4693,81.80%,12.00%,1.19%,37.52%,639,10.40%,43.30%,12.74%,0.93%,92.41%,14.99%,0.2913,1
4401.02,"$31,709",404,671,855,233,79,0.5029,80.95%,21.62%,0.26%,38.41%,518,13.94%,55.55%,13.66%,5.83%,97.41%,16.05%,0.3374,1
4402.01,"$40,055",449,848,1318,537,283,0.5626,85.37%,19.45%,0.21%,54.26%,802,37.60%,74.40%,9.10%,4.48%,97.73%,50.02%,0.4556,2
4402.02,"$33,341",293,396,956,402,148,0.5741,74.56%,38.69%,6.56%,56.38%,314,17.23%,75.92%,18.78%,39.99%,73.70%,56.31%,0.4699,2
4403,"$54,308",379,743,1070,602,473,0.6029,52.53%,56.98%,0.90%,39.50%,580,62.72%,81.08%,36.23%,72.19%,95.32%,19.00%,0.6109,3
4406,"$68,478",131,353,491,320,174,0.6072,34.38%,81.93%,0.00%,43.78%,338,78.84%,82.21%,57.83%,93.33%,100.00%,25.25%,0.7291,4
4407,"$70,169",80,300,408,139,55,0.557,69.44%,66.12%,1.66%,51.25%,203,80.04%,72.43%,22.27%,81.80%,89.36%,40.69%,0.6443,3
4408,"$29,671",93,304,489,135,84,0.5662,93.27%,27.40%,0.86%,47.13%,321,11.74%,74.52%,3.63%,13.61%,95.39%,30.72%,0.3827,2
4409,"$57,381",201,553,593,169,127,0.5352,66.67%,54.21%,2.30%,49.24%,484,67.23%,64.86%,24.09%,69.00%,86.41%,35.80%,0.579,3
4503,"$61,038",256,705,948,346,161,0.5546,66.84%,65.01%,4.78%,47.66%,542,70.73%,71.23%,23.71%,80.07%,78.04%,31.64%,0.5924,3
4601,"$36,962",362,776,717,211,110,0.5017,66.27%,39.41%,31.44%,39.01%,647,27.14%,55.00%,24.24%,42.58%,54.60%,17.66%,0.3687,2
4602,"$40,756",465,491,318,90,31,0.4181,35.31%,35.80%,43.79%,35.44%,539,38.88%,21.40%,56.94%,32.48%,44.29%,12.10%,0.3435,1
4603.01,"$38,579",695,326,602,321,0,0.4565,52.39%,46.88%,33.75%,44.38%,685,33.22%,38.66%,36.38%,57.70%,51.77%,25.84%,0.406,2
4603.02,"$25,354",744,681,602,169,72,0.4363,64.40%,40.38%,14.15%,42.25%,807,4.57%,30.81%,26.17%,44.56%,66.76%,23.36%,0.3271,1
4604,"$61,870",313,701,917,368,226,0.5598,74.54%,49.37%,5.04%,48.36%,628,71.70%,73.43%,18.92%,61.35%,76.70%,33.83%,0.5599,3
4605,"$56,788",715,905,1545,657,339,0.5519,60.32%,57.61%,5.12%,35.38%,895,66.35%,70.49%,29.01%,72.64%,76.39%,11.97%,0.5448,3
4606,"$36,075",112,238,227,66,2,0.4784,82.54%,42.86%,26.04%,38.08%,228,23.73%,47.19%,11.77%,50.19%,58.54%,15.62%,0.3451,2
4607,"$18,354",673,464,382,107,27,0.4005,60.70%,18.33%,48.84%,38.84%,917,2.07%,17.18%,28.62%,3.55%,41.35%,17.40%,0.1836,1
4610,"$29,001",418,319,240,50,32,0.4034,60.82%,13.45%,36.49%,39.05%,214,10.82%,18.88%,28.32%,2.06%,50.28%,18.00%,0.2139,1
4701,"$38,218",282,645,733,133,109,0.5098,90.27%,51.46%,2.93%,50.61%,572,32.40%,56.88%,5.18%,64.63%,84.91%,38.50%,0.4708,2
4801,"$66,284",124,370,451,333,284,0.6362,73.58%,79.06%,0.52%,50.97%,217,77.47%,86.34%,20.27%,91.54%,96.60%,40.00%,0.687,4
4802,"$43,626",128,152,405,124,69,0.5667,46.53%,51.88%,0.00%,54.77%,174,44.06%,74.56%,41.96%,65.52%,100.00%,51.53%,0.6294,3
4803,"$39,526",134,151,285,199,148,0.6166,66.05%,59.88%,3.72%,53.93%,221,35.98%,83.37%,24.39%,75.55%,80.78%,49.10%,0.5819,3
4804,"$62,224",375,965,1742,485,879,0.6238,53.70%,84.51%,8.04%,51.32%,793,72.35%,84.60%,34.84%,95.27%,71.52%,41.00%,0.666,4
4805,"$52,999",226,522,892,341,112,0.5609,56.71%,73.39%,12.93%,43.80%,548,61.70%,73.60%,31.96%,85.51%,67.41%,25.41%,0.576,3
4903,"$50,341",219,355,429,362,311,0.6228,66.97%,76.42%,1.08%,43.78%,339,55.33%,84.24%,23.58%,89.20%,93.42%,25.25%,0.6184,3
4904,"$64,748",90,184,318,151,36,0.5638,31.31%,70.33%,0.73%,43.78%,205,75.36%,74.45%,65.65%,83.94%,95.94%,25.25%,0.701,4
4905,"$50,862",136,245,576,236,197,0.6163,57.22%,76.74%,3.75%,38.27%,247,56.51%,83.20%,31.37%,89.50%,80.73%,15.67%,0.595,3
4906,"$44,035",141,208,427,194,45,0.5594,63.51%,79.71%,3.28%,45.90%,242,44.88%,73.29%,26.58%,91.92%,82.14%,28.83%,0.5794,3
4907,"$55,905",370,608,812,246,60,0.5063,41.70%,74.95%,0.20%,35.15%,551,64.85%,56.23%,47.46%,86.94%,98.08%,11.62%,0.6086,3
4908,"$49,500",586,716,890,328,169,0.5091,71.91%,65.43%,1.65%,37.27%,648,53.78%,56.74%,21.41%,80.53%,89.61%,14.28%,0.5273,3
4909.01,"$36,468",421,804,773,242,117,0.5007,82.70%,34.37%,2.67%,41.33%,612,24.41%,54.68%,11.44%,29.38%,85.53%,21.18%,0.3777,2
4909.02,"$49,173",478,840,1381,407,303,0.5541,49.28%,60.90%,1.21%,38.73%,812,52.94%,71.11%,39.38%,76.15%,92.27%,17.06%,0.5815,3
4910,"$34,130",608,1171,985,134,73,0.4582,82.97%,49.60%,0.00%,32.53%,1100,18.84%,40.09%,10.90%,61.67%,100.00%,7.89%,0.399,2
4911,"$51,143",589,850,984,398,248,0.5261,56.96%,81.56%,0.68%,57.38%,653,57.42%,62.16%,31.70%,92.84%,96.18%,59.84%,0.6669,4
4912,"$49,201",163,506,640,136,111,0.5391,93.43%,73.19%,2.45%,45.56%,405,53.03%,66.49%,3.56%,85.24%,86.18%,27.63%,0.5369,3
